CN(C)C(=O)c1ccc(cc1)OC,-9.625
CS(=O)(=O)Cl,-6.219
CC(C)C=C,2.452
CCc1cnccn1,-5.809
CCCCCCCO,-2.917
Cc1cc(cc(c1)O)C,-5.444
CC(C)C(C)C,2.468
CCCC(C)(C)O,-2.779
C[C@@H]1CCCC[C@@H]1C,1.685
CC[C@H](C)O,-3.145
C(Br)Br,-0.405
CC[C@H](C(C)C)O,-2.416
CCc1ccccn1,-3.31
CCCCC(=O)OCC,-3.11
c1ccc(cc1)S,-1.501
CC(=CCC/C(=C\CO)/C)C,-2.597
c1ccc2c(c1)CCC2,-1.752
CCOc1ccccc1,-2.254
c1cc(ccc1O)Br,-5.833
CCCC(C)(C)C,2.686
CC(=O)OCCOC(=O)C,-8.292
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-10.644
C1CCCC(CC1)O,-4.345
COC(=O)C1CC1,-3.604
c1ccc(cc1)C#N,-3.238
CCCCC#N,-2.147
CC(C)(C)O,-3.288
CC(C)C(=O)C(C)C,-2.629
CCC=O,-3.148
CN(C)C=O,-6.932
Cc1ccc(cc1)C,-0.658
C=CCC=C,2.357
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-7.665
CN(C)C(=O)c1ccccc1,-8.113
CCNCC,-2.986
CC(C)(C)c1ccc(cc1)O,-5.543
CC(C)CCOC=O,-3.414
CCCCCCCCCCO,-2.446
CCC(=O)OCC,-3.221
CCCCCCCCC,3.221
CC(=O)NC,-8.276
CCCCCCCC=C,2.995
c1ccc2cc(ccc2c1)O,-7.849
c1cc(c(cc1Cl)Cl)Cl,-0.117
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-18.162
CCCC(=O)OC,-3.552
c1ccc(c(c1)C=O)O,-8.809
C1CNC1,-3.861
CCCNCCC,-2.233
c1ccc(cc1)N,-5.543
C(F)(F)(F)F,2.489
CC[C@@H](C)CO,-2.995
c1ccc(c(c1)O)I,-3.221
COc1cccc(c1O)OC,-7.393
CCC#C,0.284
c1ccc(cc1)C(F)(F)F,-0.57
NN,-6.508
Cc1ccccn1,-3.501
CCNc1nc(nc(n1)Cl)NCC,-10.914
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.59
CCCCCCCCN,-2.589
N,-4.018
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,-1.441
COC(=O)c1ccc(cc1)O,-9.785
CCCCCc1ccccc1,-0.094
CC(F)F,0.226
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.039
C=CC=C,1.955
CN(C)C,-2.636
CCCCCC(=O)N,-8.103
CC(C)CO[N+](=O)[O-],-1.835
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-13.599
C(CO[N+](=O)[O-])O,-6.676
CCCCCCC(=O)C,-2.758
CN1CCNCC1,-8.173
CCN,-3.156
C1C=CC=CC=C1,-0.098
c1ccc2c(c1)Cc3ccccc3C2,-4.304
CC(Cl)Cl,0.187
COc1cccc(c1)O,-6.969
c1cc2cccc3c2c(c1)CC3,-4.198
CCCCCCCCBr,1.352
c1ccc(cc1)CO,-5.133
c1c(c(=O)[nH]c(=O)[nH]1)Br,-17.298
CCCC,2.588
CCl,0.764
CC(C)CBr,0.756
CC(C)SC(C)C,0.14
CCCCCCC,2.925
c1cnc[nH]1,-7.972
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-2.66
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-14.496
C(I)I,-1.882
CCCN(CCC)C(=O)SCCC,-4.569
C[N+](=O)[O-],-2.075
CCOC,-0.71
COC(CCl)(OC)OC,-3.638
CC(C)C,2.535
CC(C)CC(=O)O,-8.844
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-9.029
CCCCl,0.973
CCCSCCC,0.64
CCC[C@H](CC)O,-2.585
CC#N,-2.789
CN(CC(F)(F)F)c1ccccc1,-3.964
[C@@H](C(F)(F)F)(OC(F)F)Cl,-1.156
C=CCCC=C,2.487
Cc1cccc(c1)C,-0.697
CC(=O)OC,-3.83
COC(c1ccccc1)(OC)OC,-5.559
CCOC(=O)c1ccccc1,-4.597
CCCS,-0.182
CCCCCC(=O)C,-2.945
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-11.126
c1ccc(cc1)CBr,-1.853
CCCCCC(=O)OCC,-2.929
CCCOC,-0.598
CN1CCOCC1,-5.774
c1cc(cc(c1)O)C#N,-7.739
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-0.705
CCCc1ccccc1,-0.511
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-17.621
CNC,-2.991
C(=C(F)F)(C(F)(F)F)F,2.305
c1cc(ccc1O)Cl,-5.373
C1CCNCC1,-3.873
c1ccc2c(c1)ccc3c2cccc3,-5.264
CI,-0.641
COc1c(cc(c(c1O)OC)Cl)Cl,-5.98
C(=C/Cl)\Cl,1.024
CCCCC,2.673
CCCC#N,-2.287
[C@@H](C(F)(F)F)(F)Br,0.234
CC(C)Cc1cnccn1,-5.495
CC[C@H](C)O[N+](=O)[O-],-1.864
c1ccc(cc1)c2cc(ccc2Cl)Cl,-1.903
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-1.31
CC[C@@H](C)C(C)C,2.625
C[C@H](CC(C)C)O,-2.907
C1CCOCC1,-1.809
C1CC1,2.485
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-0.822
C=C(Cl)Cl,1.108
CC(C)CO,-3.13
CCCOC(=O)CC,-2.453
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0.885
CSc1ccccc1,-1.325
CCc1ccccc1O,-4.768
CC(C)(C)Cl,0.826
CC(=C)C=C,1.824
Cc1ccc(cc1)C(C)C,-0.456
Cn1ccnc1,-6.282
C(CO)O,-7.266
c1ccc(c(c1)Cl)Cl,-0.553
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.128
CCCOC=O,-3.699
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-4.054
CCCCCC(=O)O,-7.878
CCOC(=O)CCC(=O)OCC,-8.683
Cc1ccnc(c1)C,-3.282
C1CCC=CC1,1.175
CN1CCN(CC1)C,-7.874
